City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
32,nouadhibou,20.931,-17.0347,299.14,0,0,9.77,MR,1688920333
33,avarua,-21.2078,-159.775,298.18,1,1,4.63,CK,1688920334
34,bull savanna,17.8868,-77.5902,304.2,5,5,8.16,JM,1688920334
35,bethel,41.3712,-73.414,301.31,75,75,5.14,US,1688920334
36,ma'an,26.9775,110.7211,298.74,99,99,2.12,CN,1688920335
37,tondon,10.3667,-13.35,303.79,53,53,2.07,GN,1688920335
38,pangoa,-12.1167,-73.0,302.57,14,14,1.98,PE,1688920336
39,dapa,9.7594,126.0531,300.69,69,69,5.31,PH,1688920336
40,adamstown,-25.066,-130.1015,294.4,100,100,7.32,PN,1688920336
41,hithadhoo,-0.6,73.0833,300.83,62,62,0.76,MV,1688920336
42,cabo san lucas,22.8909,-109.9124,301.51,75,75,6.69,MX,1688920066
43,al kharijah,25.4514,30.5464,307.65,0,0,5.27,EG,1688920337
44,mutum biyu,8.6333,10.7667,299.79,100,100,1.84,NG,1688920337
45,ust-nera,64.5667,143.2,276.89,65,65,2.55,RU,1688920337
46,invercargill,-46.4,168.35,277.32,13,13,1.44,NZ,1688920338
47,jamestown,42.097,-79.2353,294.95,75,75,0.0,US,1688920042
48,kapuskasing,49.4169,-82.4331,293.2,75,75,4.63,CA,1688920068
49,al bayda',32.7627,21.7551,296.08,0,0,4.81,LY,1688920338
50,wad medani,14.4012,33.5199,306.88,99,99,2.93,SD,1688920339
51,hotan,37.0997,79.9269,294.17,100,100,3.1,CN,1688920339
52,albany,42.6001,-73.9662,300.61,100,100,1.53,US,1688920201
53,vila velha,-20.3297,-40.2925,300.12,0,0,8.23,BR,1688920324
54,prymors'k,46.7348,36.3443,293.04,100,100,8.49,UA,1688920339
55,samana,19.2056,-69.3369,305.27,40,40,4.12,DO,1688920340
56,peace river,56.2501,-117.286,295.32,0,0,2.06,CA,1688920340
57,tralee,52.2704,-9.7026,292.29,20,20,4.63,IE,1688920340
58,olinda,-8.0089,-34.8553,300.0,75,75,3.09,BR,1688920341
59,elamanchili,17.55,82.8667,302.83,88,88,2.53,IN,1688920341
60,nemuro,43.3236,145.575,287.33,75,75,3.31,JP,1688920341
61,boa vista,2.8197,-60.6733,304.14,40,40,4.12,BR,1688920342
62,pandan,14.0453,124.1694,300.22,99,99,2.0,PH,1688920342
63,mezhdurechenskiy,59.6,65.9333,292.09,67,67,2.51,RU,1688920342
64,port elizabeth,-33.918,25.5701,283.88,75,75,3.6,ZA,1688920343
65,dudinka,69.4058,86.1778,285.72,96,96,4.64,RU,1688920343
66,tazovsky,67.4667,78.7,281.7,89,89,4.02,RU,1688920343
67,walvis bay,-22.9575,14.5053,287.64,0,0,9.31,NA,1688920343
68,axim,4.8699,-2.2405,299.1,77,77,3.66,GH,1688920344
69,bremen,53.0752,8.8078,306.11,0,0,2.57,DE,1688920344
70,sinabang,2.4803,96.3801,299.3,96,96,2.36,ID,1688920344
71,margaret river,-33.95,115.0667,289.26,68,68,6.88,AU,1688920345
72,makhambet,47.6667,51.5833,309.26,90,90,3.73,KZ,1688920345
73,ushuaia,-54.8,-68.3,276.96,75,75,7.2,AR,1688920345
74,alaghsas,17.0187,8.0168,308.09,40,40,4.12,NE,1688920346
75,cherdyn',60.403,56.4787,289.67,90,90,3.25,RU,1688920346
76,iqaluit,63.7506,-68.5145,279.0,75,75,3.6,CA,1688920346
77,port mathurin,-19.6833,63.4167,296.96,34,34,11.44,MU,1688920347
78,pueblo nuevo,23.3833,-105.3833,296.98,39,39,2.06,MX,1688920347
79,emiliano zapata,18.8333,-99.1833,298.52,75,75,3.09,MX,1688920347
80,hailin,44.5833,129.4167,291.08,99,99,1.73,CN,1688920347
81,tauranga,-37.6861,176.1667,285.73,99,99,1.79,NZ,1688920050
82,antsiranana,-12.2787,49.2917,296.86,16,16,6.56,MG,1688920348
83,edinburgh of the seven seas,-37.0676,-12.3116,288.36,100,100,10.1,SH,1688920348
84,kodiak,57.79,-152.4072,282.88,75,75,3.09,US,1688920340
85,pudozh,61.8099,36.5345,284.71,97,97,3.02,RU,1688920348
86,bredasdorp,-34.5322,20.0403,283.03,99,99,2.14,ZA,1688920349
87,turbat,26.0023,63.044,303.11,76,76,4.2,PK,1688920349
88,talnakh,69.4865,88.3972,285.49,98,98,1.8,RU,1688920349
89,soure,-0.7167,-48.5233,301.3,9,9,3.59,BR,1688920274
90,tambopata,-12.7333,-69.1833,304.09,40,40,2.57,PE,1688920350
91,tartu,58.3806,26.7251,291.29,100,100,4.12,EE,1688920094
92,berdigestyakh,62.0989,126.6992,285.1,38,38,2.66,RU,1688920350
93,yellowknife,62.456,-114.3525,289.44,75,75,6.17,CA,1688920178
94,ves'yegonsk,58.664,37.2604,289.26,87,87,5.08,RU,1688920351
95,acapulco de juarez,16.8634,-99.8901,301.05,100,100,3.09,MX,1688920120
96,laramie,41.3114,-105.5911,294.56,0,0,0.45,US,1688920293
97,vuktyl,63.8567,57.3094,284.15,67,67,3.09,RU,1688920352
98,inarajan village,13.2736,144.7484,299.23,100,100,6.93,GU,1688920352
99,kenai,60.5544,-151.2583,283.23,100,100,1.54,US,1688920352
100,acarau,-2.8856,-40.12,302.9,7,7,8.81,BR,1688920352
101,ladario,-19.0047,-57.6017,301.31,0,0,3.09,BR,1688920172
102,qamdo,31.1667,97.2333,282.95,59,59,1.21,CN,1688920354
103,sabang,5.8933,95.3214,299.91,100,100,8.23,ID,1688920354
104,atafu village,-8.5421,-172.5159,301.75,100,100,7.7,TK,1688920354
105,jinja,0.439,33.2032,293.67,84,84,2.65,UG,1688920355
106,adam,22.3756,57.5233,306.88,88,88,6.69,OM,1688920355
107,ancud,-41.8697,-73.8203,281.73,96,96,3.72,CL,1688920355
108,mangai,-4.05,19.5333,300.24,14,14,0.99,CD,1688920356
109,luderitz,-26.6481,15.1594,288.14,0,0,12.47,NA,1688920356
110,san antonio de pale,-1.4014,5.6325,296.24,82,82,5.04,GQ,1688920356
111,lebu,-37.6167,-73.65,284.59,80,80,0.94,CL,1688920357
112,vrangel',42.7297,133.0839,290.88,95,95,0.86,RU,1688920357
113,blackmans bay,-43.0167,147.3167,285.78,82,82,6.22,AU,1688920357
114,tahe,52.3333,124.7333,285.65,60,60,1.69,CN,1688920357
115,gamba,-2.65,10.0,295.56,25,25,4.06,GA,1688920358
116,zaghouan,36.4029,10.1429,307.07,50,50,4.33,TN,1688920358
117,fort mcmurray,56.7268,-111.381,293.92,0,0,1.03,CA,1688920358
118,hermanus,-34.4187,19.2345,283.04,67,67,4.03,ZA,1688920358
119,ribeira grande,38.5167,-28.7,294.69,75,75,6.17,PT,1688920358
120,recreo,-29.2818,-65.061,292.06,97,97,4.27,AR,1688920359
121,molo,-0.2479,35.7374,284.43,80,80,1.92,KE,1688920359
122,itapuranga,-15.5622,-49.9486,305.06,0,0,1.49,BR,1688920359
123,murray bridge,-35.1167,139.2667,284.45,77,77,2.98,AU,1688920359
124,caninde de sao francisco,-9.66,-37.7894,303.24,61,61,3.41,BR,1688920360
125,hamilton,39.1834,-84.5333,298.85,100,100,4.12,US,1688920262
126,badger,64.8,-147.5333,289.1,75,75,0.0,US,1688920360
127,namdrik,5.5994,168.1028,301.11,100,100,4.51,MH,1688920360
128,timbuktu,16.7735,-3.0074,313.35,3,3,3.69,ML,1688920361
129,longyearbyen,78.2186,15.6401,282.06,75,75,6.17,SJ,1688920361
130,bassila,9.0081,1.6654,299.01,100,100,1.39,BJ,1688920361
131,bubaque,11.2833,-15.8333,301.23,95,95,6.06,GW,1688920361
132,medicine hat,50.0501,-110.6683,298.83,0,0,3.6,CA,1688920152
133,san mariano,7.5,126.0,295.92,73,73,1.3,PH,1688920362
134,kerouane,9.2667,-9.0167,299.66,67,67,2.0,GN,1688920362
135,bamboo flat,11.7,92.7167,298.2,100,100,3.09,IN,1688920362
136,iskateley,67.6803,53.1512,279.58,100,100,3.34,RU,1688920362
137,kruisfontein,-34.0033,24.7314,282.53,75,75,7.5,ZA,1688920363
